Group,Genus,Species,Taxonomic Note,Order,Family,System,Series,Stage,Regional Stage,Group,Formation,Member,Locality,Max Age,Min Age,citation
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Downton Castle Sandstone Formation,,England,423,419,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,banksi,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Ludlow Bone Bed,,,423,421,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,acadia,,,Cyathaspididae,Silurian,,Ludlow-Pridoli,,,Jones Creek Formation,,New Brunswick,427,419,Denison 1964; Boucot & Janis 1983 for BA
Heterostracans,Cyathaspis,sp.,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Downton Castle Sandstone Formation,Platyschisma Beds,"Herefordshire, UK",423,419,Plotnick 1999
Heterostracans,Cyrtaspidichthys,ovata,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Whitley 1940; Fiorillo 2000 for environment
Heterostracans,Cyrtaspidichthys,sculpta,,,,,,Emsian,,,Beartooth Butte,,Wyoming,407,393,Novitskaya 2007; Whitley 1940; Fiorillo 2000 for environment
Heterostracans,Dikenaspis,yukonensis,,Heterostraci,Cyathaspididae,Silurian,,Gorstian,,,Road River Formation,,"Beaver River, Southeastern Yukon, Canada",427,425,Denison 1964; Boucot & Janis 1983 for BA and formation
Heterostracans,Dinaspidella,sp.,,Heterostraci,Cyathaspididae,Silurian,,late Sheinwoodian-Homerian,,,Delorme,Avalanche Lake: AV4 and AV5,"Northwest territories, Canada",431,427,Elliott and Petriello 2011; Soehn 2000; Boucot & Janis 1983 for BA
Heterostracans,Dinaspidella,sp,,Heterostraci,Cyathaspididae,Devonian,,Lockhovian,,,Fraenkelryggen Formation,,"Red Bay, Spitsbergen",417,415,Plotnick 1999
Heterostracans,Dinaspidella,elizabethae,,Heterostraci,Irregularaspididae,Devonian,,Lockhovian,,,Delorme,transition between Delorme and Road River,"MOTH Site 127, GSC locality 69014, Unit 10, Northwest territories, Canada",419,411,Pellerin and Wilson 1995; Dineley & Loeffler 1976 loc info - GSC 69014 transistion between Delorme and Road River Fm detailed locality info in D&L suggests brackish lagoon similar to GSC 69017  - BA 3 according to Boucot & Janis 1983
Heterostracans,Djurinaspis,prima,,,Pteraspidiformes,Devonian,,Lockhovian/Pragian,,,Dniester Formation,Ustechko,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
Heterostracans,Djurinaspis,secunda,,,Pteraspidiformes,Devonian,,Lockhovian,,,Ikva,,"Podolia, Ukraine",412,410,lagoon-delta according to Voichyshyn 2011
Heterostracans,Dnestraspis,firma,,,Pteraspidiformes,Devonian,,Pragian,,,Dniester Formation,Khmeleva ,"Podolia, Ukraine",410,408,"Novitskaya, 2007; lacustrine according to Voichyshyn 2011"
Heterostracans,Doryaspis,nathorsti,,,,Devonian,,Pragian,,,Wood Bay,,"Spitbergen, Norway",410,407,Novitskaya; White 1935; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Drepanaspis,gemuendensis,,,,Devonian,,Emsian,Lower,,Hunsruck Slate Formation,,"Gemuenden, Germany",407,403,Kuhl et al 2012; 'depths just below storm wave-base' Raiswell et al 2008
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Sandbian,Sandbian,,Harding Formation,,"Canon City, Colorado",454,453,Walcott 1892; Boucot and Janis 1983 for BA; Allulee andHolland 2005
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Katian,Caradoc,Winnipeg,Winnipeg Formation,South Piney Member,"Bighorn Mountains, Wyoming",454,453,Sansom and Smith 2005
Heterostracans,Eriptychius,americanus,,Eriptychiida,Eriptychiidae,Ordovician,Upper,Katian,Caradoc,,Viola Limestone,,"Arbuckle Mountains, southern Oklahoma",455,451,Ossian and Halseth 1976; Alberstadt 1973 and Boucot and Janis 1983 for palaeoenvironment; Amsden 1983 and Gao et al 1996 for age and shallow subtidal in upper deposits
Heterostracans,Errivaspis,waynensis,,,Pteraspididae,Devonian,,Lockhovian,,Ditton Group,,Wayne Herbert Quarry,"Abergavenny, South Wales",419,411,Dineley 1999; lot of lit for environment cited in GCR volume
Heterostracans,Escharaspis,alata,,,,Devonian,,Lockhovian (Upper),,,"Peel Sound, Drake Bay, Snowblind Bay",,"Prince of Wales Island, Canadian Arctic",414,410,Elliott 1983; Boucot & Janis 1983 for BA
Heterostracans,Eucyclaspis,erroli,,,,,,Pragian (Upper),,,Water Canyon,,Utah,410,409,Novitskaya 2007; Denison 1970; Reed 1997 (unpublishes thesis)
Heterostracans,Europrotaspis,crenulata,,,Pteraspididae,,,Lockhovian,,Ditton Group,,upper cornstone,Besom farm,413,411,Loeffler and Thomas 1980; Dineley & Metcalfe 1999; lack of any marine inverts
Heterostracans,Europrotaspis,arnelli,,,,,,Lockhovian (Upper),,,Dniester Formation,Strypa Stage,"Podolia, Ukraine",408,407,Novitskaya 2007; terrestrial channel deposit according to Voichyshyn 2011
Heterostracans,Gigantaspis,minima,,,Pteraspidiformes,,,Pragian,early,,Wood Bay Formation,Sigurdfjellet,"Spitsbergen , Norway",410,409,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,laticephala,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,isachseni,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,Gigantaspis,bocki,,,Pteraspidiformes,,,Pragian,,,Wood Bay Formation,Kapp Kjeldsen,"Spitsbergen , Norway",408,407,Pernegre & Goujet 2007; Blomeier et al 2003; Harland 1997 chpt.16 Geology of Svalbard
Heterostracans,"""Helaspis"" Name preoccupied",finis,name appears to preoccupied by insect,,,Devonian,,Givetian,,,Yahatinda Formation,,Canada,387,382,Williams & Krause 2000 for environment
Heterostracans,Homalaspidella,borealis,,Heterostraci,Cyathaspididae,Silurian,,Pridoli,,,Somerset Island Formation,,"Northwest territories, Canada",423,421,Loeffler and Jones 1976; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'
Heterostracans,Homalaspidella,borealis,,Heterostraci,Cyathaspididae,,,Pridoli,,,Leopold Fm,,"Port Leopold,Somerset Island,  Canada",423,419,Jones 1975; Miall & Kerr 1977 for palaeoenvironment 'inter-tidal'; Plotnick 1999 for BA
