	"Standard 
length (mm)"	"Body 
depth 
(mm)"	"Body 
width
 (mm)"	"Dorsal fin 
spine
 length (mm)"	"Anal fin 
spine 
length 
(mm)"	"Right pectoral
 fin spine length (mm)"	"Left pectoral 
fin spine length (mm)"
Melanocetidae	41.870	33.200	23.330	16.270	5.970	0.000	0.000
Melanonidae	152.150	28.500	19.750	17.550	7.600	0.000	0.000
Melanotaeniidae	96.500	37.300	14.800	9.500	8.400	0.000	0.000
Menidae	85.000	55.700	9.630	12.130	2.200	0.000	0.000
Merlucciidae	148.230	28.500	21.400	20.370	13.470	0.000	0.000
Microstomatidae	135.000	15.300	12.700	0.000	0.000	0.000	0.000
Mochokidae	173.667	63.400	42.300	54.267	0.000	45.967	45.733
Monacanthidae	96.250	45.770	10.120	13.200	8.570	0.000	0.000
Monocentridae	114.100	62.870	29.770	22.330	9.870	0.000	0.000
Monodactylidae	41.500	33.030	8.470	24.300	27.330	0.000	0.000
Moridae	92.200	16.750	10.950	7.150	9.700	0.000	0.000
Moringuidae	536.667	7.533	5.967	0.000	0.000	0.000	0.000
Mormyridae	199.667	44.800	19.500	0.000	0.000	0.000	0.000
Moronidae	181.000	72.170	30.300	27.330	16.270	0.000	0.000
Mugilidae	79.370	18.930	10.670	10.980	8.070	0.000	0.000
Mullidae	104.670	28.830	15.530	18.800	10.800	0.000	0.000
Muraenesocidae	525.333	28.533	20.700	0.000	0.000	0.000	0.000
Muraenidae	499.333	39.667	19.500	0.000	0.000	0.000	0.000
Muraenolepididae	125.100	18.400	8.800	4.700	8.400	0.000	0.000
Myctophidae	104.333	27.167	16.367	0.000	0.000	0.000	0.000
Nandidae	74.020	26.250	11.080	8.300	6.730	0.000	0.000
Nematistiidae	194.000	61.400	27.050	122.400	7.800	0.000	0.000
Nematogenyidae	210.667	43.267	45.433	0.000	0.000	25.100	25.833
Nemichthyidae	911.667	21.600	12.967	0.000	0.000	0.000	0.000
Nemipteridae	100.300	33.930	15.600	9.870	8.500	0.000	0.000
Neoscopelidae	118.333	27.467	17.500	0.000	0.000	0.000	0.000
Nettastomatidae	417.333	14.600	11.067	0.000	0.000	0.000	0.000
Nomeidae	110.130	26.600	15.900	9.930	4.830	0.000	0.000
Normanichthyidae	62.700	9.970	6.530	9.700	6.130	0.000	0.000
Notacanthidae	317.667	33.833	14.833	1.067	1.600	0.000	0.000
Notopteridae	213.667	51.300	14.800	0.000	0.000	0.000	0.000
Notosudidae	174.333	14.567	14.800	0.000	0.000	0.000	0.000
Nototheniidae	108.650	16.530	17.230	15.000	10.520	0.000	0.000
Odacidae	119.270	28.870	17.500	14.930	16.300	0.000	0.000
